"","text","b"
"124","check movie review black panther film",-1
"125","finally saw damn movie so hear new episode have seen go check",1
"126","plot is weaker kanye grip social history you",-1
"127","tully is uncomfortable sad watch still funny",-1
"128","quick movie review week",1
"129","cold prey stars woman survived mass murder once again face assailer",-1
"130","did think season ep review discuss other television shows sade also tries walk kyle new movie bad samaritan listen favorite podcasting application link bio",1
"131","is raw look difficulties motherhood instead superficial fantasty see why gets stars week review sponsored",-1
"132","be going see tonight stay tuned",0
"133","review wolf children is live beautiful movie heart wrenching story highly recommend",1
"134","collection stars survivor booby trapped maze hunts assailer",-1
"135","week movie review monday is tully check video things know then read full review line apple news link",0
"136","allen produced chappaquiddick breathes new life kennedy scandal",-1
"137","pacific rim is up youtube channel check",0
"138","need find movie starring nicky whelan moviecritic",0
"139","tully stars charlize stressed mother",0
"140","not very organized",-1
"141","sometimes movie review moviecore",0
"142","crucified lovers beautiful bit lacking",1
"143","bogart grahame together lonely place moviecritic",-1
"144","have seen let talk",1
"145","review wacky propaganda flick invisible agent",-1
"146","lego do not care comics super heroes flash",-1
"147","forgetting sarah marshall is up youtube channel check",0
"148","film review lean pete odyssey american heartland",1
"149","am back new movie review is",1
"150","asian movie enthusiast jailbreak cambodian movie review",1
"151","join episode continues new film bad samaritan join conversation give listen",1
"152","avengers is up youtube channel check",0
"153","fear night",-1
"154","saw avengers war other day was shocking surprise was really speechless overwhelmed incredible story characters wait",-1
"155","is got nothing check filled tie worst noises",-1
"156","chuck jos discuss avengers infinity war rd avengers series culmination years storytelling",1
"157","parable reality matrix reloaded years",0
"158","avengers age ultron is up youtube channel check",0
"159","do agree review caption read join conversation review",1
"160","missed as theater denial normal pass up other digital viewing is man",-1
"161","avengers infinity war non spoiler review moviecritic",-1
"162","saving mr banks is youtube channel check",1
"163","last jedi sexism social justice tropes moviecritic",1
"164","is getting better age",1
"165","top american film closest looking sounding actual anime film",1
"166","watch movie walwal regal films june cinemas nationwide also visit subscribe channel full scenes movie",1
"167","based novel same name author musician vlautin lean pete centres perennially shy charley teen living single father ever declining pacific northwest",-1
"168","haven seen am curious why way have seen did think love know reason not watching",1
"169","full",0
"170","feel pretty is uk cinemas now check review here",1
"171","you assface ever see do not expect was truly",-1
"172","big chintu reunite deliver classic",1
"173","movie review american animals boys film full video",0
"174","marion advanced screening tully thanks",1
"175","movie review beast starring jessie buckley geraldine james",-1
"176","pyramid review",0
"177","not out is sweet touching is living read not movie review published",-1
"178","manhunt utterly wall best possible way",1
"179","review mr right starring kendrick sam rockwell",1
"180","manhunt utterly wall best possible way",1
"181","movie goers here haven watched here is think watch course there is part where mention why",1
"182","just say film sensitive subject leaving crushing impression opinion here",-1
"183","review minor understandable cultural missteps is touching hilarious bold visually stunning stop motion animation nonetheless",1
"184","excellent cinematic experience featuring best villains franchise has ever had great character work spectacular action you",1
"185","excellent cinematic experience featuring best villains franchise has ever had great character work spectacular action you",1
"186","is week are talking purchases much much more check",0
"187","review picture perfect nollycritics follow link enjoy review beautiful comedy film",1
"188","brother baru tgok black panther tadi brother plot dia agak lemah standalone story effect is decent be more improved humor wise is good scriptwriting oke jela decent yet unimpressive superhero movie you",1
"189","review robovampire eastern horror classic moviecritic",-1
"190","movies cars written kiel murray bob peterson mike rich directed brian fee you ae you ae you ae tacos leaps bounds better cars still shows why is weakest pixar franchise",1
"191","is lighthearted full life piece read review",1
"192","unsane is up youtube channel check",0
"193","gets funny",1
"194","live long hearts people have look",0
"195","traffik brilliant film produced starring exposes evils human trafficing d birthday d birthday",1
"196","chuck jos discuss avengers infinity war rd avengers series culmination years storytelling",1
"197","harry potter chamber secrets wizard collection movie review ratings kids",1
"198","saw weekend was okay wanted more more exciting deaths was still happy side note new gourmet popcorn was amazing",1
"199","teen paheliyan disappoints times",-1
"200","just saw dunkirk first time was really good mean was be expected christopher nolan directed is different war movies have seen leave suspense highly recommend",1
"201","review",0
"202","movie reviews crew moviecritic",0
"203","isle dogs is up youtube channel check",0
"204","make laugh cry feel razor sharp brilliant performances dark comedy realistic drama",1
"205","tishnagi movie review times india storya software engineer honest cop cross paths tackle spate murders seem be work psychotic killer",-1
"206","thoughts ghost story check web log",-1
"207","saw work again see wanted work visit movies week go see too catch dhtg",1
"208","check avengers infinity war",1
"209","netflix review podcast super moviecritic",1
"210","uploaded new episode avengers movie minute",1
"211","non spoiler new movie is up",0
"212","quiet place was incredibly intense film made even more so silence big screen close tight camera work adore cleverness unique movie delivered spoiler free review",1
"213","review santhosh iamk extracts few laughs",1
"214","shah shahid biggest cinematic event last years is up now site",0
"215","pacific rim uprising is up youtube channel check",-1
"216","did leave speechless check trang review",-1
"217","is killer check",-1
"218","free review",1
"219","yatterman movie review asian filmist",0
"220","are trying do twist was confusing unnecessary say least everything was great up",-1
"221","hang review star wars stars star wars return jedi",-1
"222","have new movie review episode week talking about",1
"223","want hear full spoiler reviews check latest episode scene movie reviews",-1
"224","suffered avengers war movie was okay kind",-1
"225","misguided ambitious australian independent crime drama moviecritic",-1
"226","need movie critic reviews purely entertainment value is movie entertaining is story well presented is acting average are only things need know",1
"227","watching week netflix am minutes nothing had happened Totally Agree bland movie remind better things do",1
"228","ready player is up youtube channel check",1
"229","eternal sunshine spotless mind hard hitting emotional beautiful",1
"230","drive osiris child",1
"231","eighth wonder",1
"232","latest review is now thanks got change take look independent film misguided",-1
"233","feel pretty movie review amy schumer feel pretty is less convincing",1
"234","just finished shooting roundtable discussion video iw thanks everyone sent comments yes do have pink walls editing now video go live later tonight tomorrow morning",1
"235","solis strangers prey night spoilers",-1
"236","new today talk gorefest known feast",1
"237","have seen only imagine yet haven check",1
"238","quiet place is up youtube channel check",1
"239","else watched bud dying was almost enough push serial killing career be honest am usually bad social interaction away",-1
"240","deep blue sea review is read is fans",1
"241","feel pretty was pretty cute feel good message",1
"242","week",0
"243","nature war philosophy nearly years hit big screen terrence malick contemplative anti war epic is still engaging powerful anchored beautiful visceral score",1
"244","never hike alone movie review",1
"245","animal house movie review stoned gremlin productions",-1
"246","karate kid movie review michael mercy",1
"247","overboard movie review jay vaters",0
"248","avengers war movie review moviecritic",-1
"249","clapper relies too much characters lack tech media experience propel plot when something man does not know how google suspension disbelief immediately gets",-1
"250","is new movie worth watch check do not forget subscribe please",1
"251","isle dogs",0
"252","bunch baddies are forced team together baddie fight bigger baddie baddie brother batman not be bothered movie won oscar",-1
"253","new official options",1
"254","have seen infinity wars here review robin penny warning are spoilers need therapy",-1
"255","here is review not spoil anything am sure heard is sad f is really good give go watch",1
"256","chappaquiddick is up youtube channel check",0
"257","newest reviews moviecritic",0
"258","episode cinescape magazine podcast movie review break steven spielberg adaptation ernest cline mega hit pop culture novel ready player",1
"259","updated review page",0
"260","is debut feature is quite impressive definitely watch",1
"261","learn drive movie",1
"262","gehenna where death lives",-1
"263","so stays top weekend upset numbers is phenomenal cast think everyone is still going make sure catch s opinions show",1
"264","audrey hepburn finney are road movie be way more famous moviecritic",1
"265","isle dogs film review wes best moviecritic",1
"266","beirut is up youtube channel check",0
"267","trouble is business",-1
"268","how are feeling dealing depression alcoholism anxiety when sun is",-1
"269","busy making review amazing movie was way different expected",1
"270","ready player movie review panel marta move podcast dinky dana pittsburgh retro gaming convention",1
"271","you birthday short",1
"272","come back more movie review horror show",-1
"273","disobedience movie review lc screen talk",-1
"274","quiet place movie review channel awesome",1
"275","get carter movie review film brain",0
"276","anonymous movie review hyperdrive",0
"277","happy birthday movie review bloodbath",1
"278","rider expanded new total theaters weekend made total platform release is best year so seek opens",1
"279","have been hard work fresh redesign rebrand web log please head check follow new instagram twitter profiles",1
"280","disobedience expanded theaters took trouble is be watching local theaters",-1
"281","are live director spotlight tune",1
"282","remember other marvel movie opened way back february black panther is still crushing made mil week new domestic total mil hit mil milestone",-1
"283","tully opened weekend disappointing mil theaters nationwide positive reviews charlize not get people see",-1
"284","rampage rounded box office top mil week new domestic total mil worldwide is now just shy tripling mil budget mil total",1
"285","feel pretty had pretty hold week dropping mil domestic total is now mil mil budget is going need help",1
"286","queen damned stars vampire awakens queen kind stirs underworld community ba",-1
"287","quiet place slipped quiet mil week box office hit horror thriller is now staggering mil domestic mil worldwide",-1
"288","overboard delivered expectations weekend solid mil second place sink swim next week",0
"289","saw years christopher lee wants look wicker man moviecritic",0
"290","maze runner death cure movie review putting cap plague",-1
"291","worst movie have ever seen is planet dinosaurs guess say is so bad is good tries be serious ends being laughs want watch shitty movie planet dinosaurs is top pick",1
"292","new review",1
"293","rampage is up youtube channel check",-1
"294","please let know think not just review film is sexist is feminist is relevant today world let know",1
"295","documentary was unexpected inspiring find",1
"296","promised watched shot caller last night politely guess is guy movie had agent talked taking minor role movie fire",1
"297","superheroes have seen yet did think love hear think have written non spoiler review here loved did not",-1
"298","ghost stories weak endings price",-1
"299","evil movie review horror show",-1
"300","overboard movie review stoned gremlin productions",-1
"301","tully movie review movie couple",0
"302","overboard movie review lc screen talk",1
"303","b are going make do like movie is heartbreaking make want read you",-1
"304","creeping flesh stars scientist comes believe evil is disease flesh skeleton owns contains purest form",-1
"305","super psycho sweet part stars reunited mother teenager is once again stalked psychotic father",-1
"306","denial normal even get started",-1
"307","chuck jos discuss avengers infinity war rd avengers series culmination years storytelling",1
"308","guardian stars couple newborn baby do not realize nanny hired is nymph sacrifices children",-1
"309","quick review avengers infinity war full review facebook liked did not love bored quick bits certain spots way better age ultron just hope do not wuss out bring everyone back",1
"310","chuck jos discuss avengers infinity war rd avengers series culmination years storytelling",1
"311","want want magical realism drama cultural heritage means go el de la serpiente embrace snake d review",1
"312","review redemption road blues driven drama road redemption",1
"313","movie review bad samaritan check youtube channel",-1
"314","tried apologize were unable anticipate feline complications dr",1
"315","color blood red stars artist kills people use blood paintings",-1
"316","movie law abiding citizens has worst end ever message director want send jamie foxx did right thing accepting deal messed",1
"317","borg versus mcenroe is up youtube channel check",-1
"318","i am evidence interesting topic documentary read mini review here",1
"319","movie screening sherlock gnomes watching sherlock gnomes new metro clearwater mall",1
"320","starring is film surviving joke ended minute movie",1
"321","anonymous few good ideas plot leaves lot be desired",1
"322","are real stand performances big Network Interface Card cage fans was disappointing see largely go motions film read review here",-1
"323","quite rollercoaster movie fun watch",-1
"324","beast family movie review",-1
"325","birthday review",1
"326","ep speed starring keanu reeves sandra bullock",0
"327","avengers infinity war review thoughts true fan moviecritic",1
"328","funny reviews iamk movie",1
"329","nollycritics review kunle afolayan phone swap follow link enjoy review masterpiece",1
"330","guernsey literary potato peel pie society movie review",-1
"331","review ready player movie",1
"332","avengers infinity war",1
"333","am not winning pulitzers here god feels good have writing groove coming back haven done movie review while got wheels turning",1
"334","super troopers is up youtube channel check",1
"335","incredible acting was okay too didn particularly story line development kudos incredible little actress",1
"336","bit late know read spoiler free right here",1
"337","add d you you",0
"338","loved loved loved sincere earnest performances drama kudos moments silence when required watch guys thanks giving priceless gem last scene d",1
"339","review avengers infinity war is too damn big still makes entertaining engaging even shocking entry marvel cinematic universe stars moviecritic",1
"340","omerta movie review surprisingly passion less biopic omar saeed",1
"341","put worries aside watch lovely light hearted movie stellar performances jimit dixit",1
"342","paul bass basically deal",1
"343","gets boring",-1
"344","check movie review film not b fef",0
"345","here is full aj zombies",-1
"346","looking movie watch avengers highly recommend bad samaritan read review find",-1
"347","ready player movie review",1
"348","new site means review non episode movies too finally saw black panther other day here review",1
"349","viewing give old discs run do is turn starring",0
"350","check top favourite films celebration birthday are f f bye bye",1
"351","have been much much better little more detailing movie is time watch tweeples duration is less more documentary wish have shown more details non less time watch",1
"352","failed show terrorist details had created rage everyone fails completely was expecting much more detailing not jumping situation is where movie really disappointed",-1
"353","has portrayed role subtleness want darker shade done brilliant job",1
"354","promotion only word month rare see such movie nowadays anywyz is good movie terrorist darker shade living own mindset being very stubborn very well portrayed superb acting",1
"355","open season voiced joel mchale mike epps",0
"356","avengers infinity war is youtube channel check",1
"357","theatres breaker upperers moviecritic",0
"358","come theatre loving bit more",1
"359","excellent cinematic experience featuring best villains franchise has ever had great character work spectacular action you",1
"360","excellent cinematic experience featuring best villains franchise has ever had great character work spectacular action you",1
"361","comes am not be more disappointed",1
"362","tully was surprising good very much enjoyed",1
"363","roman israel esq is up youtube channel check",0
"364","is feel good film is living read entire",1
"365","tully movie review chris hartwell",0
"366","dude movie review rich reviews",1
"367","anonymous movie review moviecore",0
"368","overboard movie review common sense media",0
"369","watched mrs palfrey claremont again tonight first time so viewings did not tear know am becoming jaded old age",1
"370","godard mon amour review directed michel hazanavicius moviecritic",1
"371","quick brown fox jumps lazy dog avengers infinity war",1
"372","checkout where take look back iron man geek video log denial normal forget",-1
"373","unravels stark realities surrounding death brilliant watch film stays watching read experience here",-1
"374","extra scene credits billboards was not funny",-1
"375","star wars last jedi is up youtube channel check",-1
"376","art movie review",1
"377","guys review amitabh bachchan rishi kapoor sparkling drama you f see f you",1
"378","ready player movie review",1
"379","is time big explosions crazy bus driving cheesy one liners ep speed starring",-1
"380","dan reviews gift",1
"381","jumanji welcome jungle is up youtube channel check",1
"382","birthday review grace jones bloodlight bami",1
"383","mourning grave korean movie review get",-1
"384","review pitch perfect english movie get",1
"385","wow was fantastic great job d fef looking great movie watch weekend check is available itunes amazon prime wonderful roller coaster emotions loved funny touching",1
"386","review tame sequel wild things",-1
"387","disobedience is out now limited release is tale forbidden love seek",-1
"388","schedule next month",0
"389","mom enjoyed forever girl country songs acting story mostly untraumatic drama love visible sex suitable ages older is not really kids film be bored",1
"390","podcast is now available hosts",1
"391","is coming big how get ready",1
"392","moviepass adventures overboard moviecritic",1
"393","thank amy totally get relate watch honest reflective review",1
"394","greatest showman is up youtube channel check",1
"395","is making villains great again have read review infinity war find",-1
"396","favourite quentin tarantino movie is one vulgar language eclectic music choices blood tsunami s",1
"397","moviepass adventures overboard",1
"398","review nasty grindhouse abduction lorelei",-1
"399","movie reviews are always going be allover",0
"400","was magic solution usual dilemma doc shows nothing really be solved non whites still not have say are portrayed media",1
"401","is overboard thrown sea grab life jacket check review",0
"402","premise is dated succeeds wonderful comedic timing charm",1
"403","is silly stupid is fun is goofy fun easy watch friends see has cult following",-1
"404","review avengers infinity war climax end climaxes",1
"405","rider acknowledges tender side masculinity also recognizes damage men inflict",-1
"406","dear zachary see",1
"407","avengers war movie review let know thoughts movie you",-1
"408","review ready player movie",1
"409","was awesome not really compare films britherhood sisterhood are totally different things reallt loved comic timing",1
"410","just finish be posted monday",0
"411","handmaid tale season",0
"412","shape water is up youtube channel check",0
"413","movie review artsy attempts investigate gender neutrality leaves neutral impressionmovie review artsy attempts investigate gender neutrality leaves neutral impression",1
"414","bad samaritan review",-1
"415","turned review lovely youtube love check",1
"416","reitman cody effectively wave sos flag mothers everywhere",1
"417","just watched film shrek always classic gets perfect stars",1
"418","review is up",0
"419","is taut haunting film link full b fef b fef b fef b fef b fef",-1
"420","new comic posted movie review lady bird",1
"421","molly game is youtube channel check",0
"422","read not movie review movie screenplay direction performance dialogues music etc webtafri",1
"423","check most recent post th project",0
"424","attention just learned favorite show is coming end wait is way stop just signed petition digital signatures needed is goal please sign petition below share thank",1
"425","time rewind besties put feet relive glorious year remember when kevin costner was thing",1
"426","new take cleanse kevin costner version memories",1
"427","video go live tomorrow afternoon",0
"428","plan was movie cmg you",0
"429","netflix kissing booth trailer family movie reaction review",0
"430","check latest video favorite movies birdman",1
"431","happy readers are badly revised very interesting flawed plot twists enjoy",-1
"432","do take movie popcorn nachos candy nothing",0
"433","just used movie number weekend gave great review looking forward seeing agree",1
"434","give stars love humor is was do not care is missing films",1
"435","watched last night was emotional ride great message is funny family oriented movie did marvelous job watch movie youngsters double watch buddha family",1
"436","attack foot turkey",-1
"437","review avengers infinity war",1
"438","saving private ryan blue ray review",1
"439","latest",0
"440","money world is up youtube channel check",1
"441","review fred olen ray fiance killer",-1
"442","greetings vancouver enjoy trailer love review punch funny comedy legacy whining apocalypse now buddy pictures",1
"443","loaded well executed movie interesting developments great action difficult crossovers",1
"444","movie was so good loved wait buy dvd",1
"445","film marvellous performance beautiful messge do not just live numbers live life watch",1
"446","movie review bad samaritan check youtube channel",-1
"447","darkest hour is up youtube channel check",-1
"448","believe hype check see thought",-1
"449","real hero is",1
"450","horror remakes are crap here are real gems",-1
"451","time nocturnal animals",0
"452","talking good ole animated classic show titan ae retrospect old man orange podcast let play",1
"453","waxwork stars wax museum owner lures people alternate dimensions where death awaits",-1
"454","terror toons stars when played cursed film releases evil cartoons turn party psychedelic massacre ba",-1
"455","follows crazy david tennant terrorizes young valet driver tried rob wrong house david tennant give good movie is bad movie",-1
"456","looks going whoop ass all",-1
"457","review diving bell butterfly",0
"458","are looking family movie add coco list read",0
"459","apologies have located movie well think",1
"460","jack frost revenge mutant killer snowman stars evil snowman murders people caribbean christmas ba",-1
"461","get selena movie",0
"462","check film prequel legendary f f bye bye",1
"463","feel pretty movie review",1
"464","craze stars antiques dealer sacrifices women african idol ba",-1
"465","tonya is up youtube channel check",0
"466","just watched fucking awful film",-1
"467","submergence movie review artsy independent films try say something deep just ends being pretentious moviecritic",-1
"468","faris is back remake film was not good is worth money weed see",-1
"469","gatchaman movie review asian filmist",0
"470","truth dare movie review austin putnam",1
"471","tully movie review common sense media",0
"472","plan outer space movie review channel awesome",1
"473","bad samaritan movie review common sense media",-1
"474","halloween ii season witch stars shady mask factory plots decimate children population worldwide halloween night using rigged live broadcast ba",-1
"475","watching beginning watching twist ending",-1
"476","today begin time are talking favorite movies event",1
"477","liked read mini review see how feel",1
"478","midnight screenings see overboard remake",0
"479","how many are more camp how many mine",0
"480","watching new samson love epic tales biblical stories just perfect see film most excellent worth watch get apk android google free new movies get now asp",1
"481","miss oyu solid melodrama beautifully shot",-1
"482","is review blue ray release joseph sarno retrospect series volume vampire ectasy sin sinners filmmedia moviecritic",-1
"483","reviewing movie quiet place moviecritic",1
"484","den thieves is up youtube channel check",-1
"485","finally watched really very useful message fun everyone see least time",1
"486","flix forecast now has own site where find episodes date easy location why not take gentle stroll",-1
"487","is rough watch necessary showing sides story combatting violence",-1
"488","review",0
"489","full mon mon mon monsters",0
"490","gets b fef b fef lots action few laughs didn enjoy getting shuffled planets sub plots felt was watching soap opera not super hero movie too much going",1
"491","are wondering see cinema weekend strongly recommend starring",1
"492","dear dictator movie is urge watch amazing story bad ending really good story",1
"493","watching say acting is awsum movie story is okay not bad acting is good",0
"494","walk film review",0
"495","quiet place opinions captivating mix calmness terrifying tension great example how important is use cinematic elements tell story wonderful performances overall unique beautiful film",1
"496","limited time offer own ferdinand movie hdr",-1
"497","new review you ac",1
"498","latest video is now review netflix film anonymous starring clive owen amanda seyfried",0
"499","be fair is not unpleasant is simply plain read",0
"500","lights not fan horror movies not find scary reply usually poorly acted follow same dumb clich es is exception had potential premise effects used show monster dark",-1
"501","doctor strange called doctor video check review",-1
"502","reviews wilding new horror",-1
"503","review johnny english reborn starring rowan gillian dominic west rosamund pike daniel kaluuya",1
"504","have been more entertaining",1
"505","latest independent films daily",0
"506","phantom thread is up youtube channel check",-1
"507","open pod bay doors hal is th anniversary space odyssey latest cinepod moviecast chat stanley kubrick only epic",1
"508","pretty rubbish review feel pretty",1
"509","review tully is up please enjoy",1
"510","stories make up are beautifully shot executed great skill",1
"511","read review avengers infinity war web log",1
"512","week movie review adam sandler better films is not saying much entertainment news firstpost",1
"513","game driven movie is nothing just time pass",0
"514","check top favourite films celebration birthday are f f bye bye",1
"515","movie teaches rise bitter memories cherish sweet ones b b b b watch",1
"516","suddenly china big market unique thing happening seems chinese liking indian art are same heart",1
"517","excellent cinematic experience featuring best villains franchise has ever had great character work spectacular action you",1
"518","excellent cinematic experience featuring best villains franchise has ever had great character work spectacular action you",1
"519","paddington is up youtube channel check",0
"520","movie review not refreshing concept knocks monotony",-1
"521","avengers infinity war double team movie review",1
"522","power glove movie review",0
"523","strangers prey night movie review kermodeandmayo",-1
"524","just watched was so worth series go watch karate kid films go watch",1
"525","planning watch starring here review",1
"526","am sure be happy best telly has put dvd week rework is actually better original",1
"527","real hero is",1
"528","wonderful movies extreme genres is more spectacular performance rajkumar rao is light fun flick old men teaching other rules stay young glowing",1
"529","strong is up youtube channel check",1
"530","new blogging have started writing reviews released trailers do nt ruin movie guys be promised not so famous movies try best so do not miss underrated masterpieces",-1
"531","omerta breaks away formula present true life story dreaded terrorist click here read more",-1
"532","niccol deserves praise truman show film shows is having bad afternoon bad evening bad storytelling night clive owen is smoking cop man amanda seyfried is girl hacks eyeballs",-1
"533","Network Interface Card cage is bat hell underrated kickass grindhouse action movie",-1
"534","are greatest fandoms ever imagine combine yes did game thrones marvel cinematic universe ultimate content link bio",1
"535","check review",0
"536","candy jar movie review hyperdrive",0
"537","tully movie review schmoesknow",0
"538","feel pretty movie review kermodeandmayo",1
"539","tully movie review kermodeandmayo",0
"540","lean pete movie review kermodeandmayo",1
"541","bad samaritan movie review stoned gremlin productions",-1
"542","incredibles movie review jack channel stuff",0
"543","manhunt movie review moviecore",0
"544","tully movie review craig james movie capsule reviews",0
"545","stacy web log has got going ranking wishmaster films moviecritic",0
"546","real hero is",1
"547","real hero is",1
"548","did pick female actress double role play fast furious you",1
"549","see see see f e you you do not die are alive loved message was great see rishi long time definitely worth seeing",1
"550","shorts horror edition",-1
"551","commuter is up youtube channel check",0
"552","reviewing surveillance footage vhs so advanced",1
"553","i liked video fast furious you",1
"554","drive osiris child",1
"555","horror movie villains white male monstrous other typically cast normal society monster returns have revenge define social norms",-1
"556","have listen bad samaritan review",-1
