,x,expansion
390,@$$hole,asshole
391,@h,asshole
392,^5,high five
394,b&,banned
395,b'day,birthday
396,b-cuz,because
397,b-day,birthday
398,b.f.f.,best friend forever
399,b.s.,bullshit
400,b/c,because
401,b/cos,because
402,b/g,background
403,b/s/l,Bisexual/Straight/Lesbian
404,b/t,between
405,b/w,between
406,b00n,new person
407,b00t,boot
408,b0rked,broken
409,b1tch,bitch
410,b2b,business to business
411,b2u,back to you
412,b2w, Back to work
413,b3,be
414,b4,before
415,b4n,bye for now
416,b4u,before you
417,b4ug,before you go
418,b4ul,before you Leave
419,b8,bait
420,b82rez,Batteries
421,b8rez,Batteries
422,[email protected],banned
423,bab,Big ass Boobs
424,babi,baby
425,bae,before anyone else
426,baf,bring a friend
427,baggkyko,be a good girl  keep your knickers on
428,bah,I don't really care
429,bai,Bye
430,bak,back
431,bakk,back
432,balz,balls
433,bamf,bad ass mother fucker
434,bamofo,bitch ass mother fucker
435,bau,back at you
436,bb,bye bye
437,bb4h,bros before hoes
438,bb4n,Bye-bye for now
439,bbbj,Bare Back Blow Job
440,bbe,baby
441,bbf,best boy friend
442,bbfn,Bye Bye for now
443,bbfs,best boyfriends
444,bbfu,be back for you
445,bbg,baby girl
446,bbi,Baby
447,bbiab,be back in a bit
448,bbiaf,be back in a few
449,bbialb,Be back in a little bit
450,bbiam,be back in a minute
451,bbias,be back in a second
452,bbiaw,be back in a while
453,bbifs,be back in a few seconds
454,bbilb,be back in a little bit
455,bbilfm,be back in like five minutes
456,bbim,Be Back In Minute
457,bbk,be back  ok?
458,bbl,be back later
459,bbl8a,Be Back Later
460,bblig,Be back later...i guess
461,bbm,BlackBerry Messenger
462,bbml,be back much later
463,bbn,be back never
464,bbol,be back online later
465,bbp,Banned by parents
466,bbq,be back quick
467,bbrs,be back really soon
468,bbs,be back soon
469,bbsts,be back some time soon
470,bbt,be back tomorrow
471,bbtn,be back tonite
472,bbvl,Be Back Very Later
473,bbw,be back whenever
474,bbwb,best buddy with boobs
475,bbwe,be back whenever
476,bbwl,be back way later
477,bby,baby
478,bbz,babes
479,bc,because
480,bch,bitch
481,bck,back
482,bcnu,be seeing you
483,bcnul8r,be seeing you later
484,bcoz,Because
485,bcurl8,Because you're late.
486,bcuz,because
487,bd,birthday
488,bday,birthday
489,bdfl,Benevolent Dictator For Life
490,be4,before
491,beatch,bitch
492,bebe,baby
493,becuse,because
494,becuz,because
495,beech,bitch
496,beeoch,bitch
497,beezy,bitch
498,beotch,bitch
499,besos,kisses
500,bestie,best friend
501,betch,bitch
502,betcha,bet you
503,bettr,better
504,bewb,boob
505,bewbs,boobs
506,bewbz,boobs
507,bewt,boot
508,beyatch,bitch
509,beyotch,bitch
510,bezzie,best friend
511,bf,boyfriend
512,bf's,boyfriend's
513,bf+gf,boyfriend and girlfriend
514,bf4e,best friends for ever
515,bf4eva,Best Friends forever
516,bf4l,best friends for life
517,bfam,brother from another mother
518,bfd,big fucking deal
519,bfe,Bum fuck Egypt
520,bff,best friend forever
521,bffa,best friends for always
522,bffaa,Best Friends Forever And Always
523,bffae,Best Friends Forever And Ever
524,bffaw,best friends for a while
525,bffe,Best friends forever
526,bffeae,Best Friend For Ever And Ever
527,bffene,Best Friends For Ever And Ever
528,bffl,best friends for life
529,bffn,best friends for now
530,bfftddup,best friends forever till death do us part
531,bfg,big fucking gun
532,bfh,bitch from hell
533,bfhd,big fat hairy deal
534,bfitww,best friend in the whole world
535,bfn,bye for now
536,bfs,Boyfriends
537,bft,big fucking tits
538,bg,background
539,bh,bloody hell
540,bhwu,back home with you
541,biab,back in a bit
542,biach,bitch
543,biaf,Back In A Few
544,biatch,bitch
545,bibi,bye bye
546,bibifn,bye bye for now
547,bicbw,but I could be wrong
548,bich,bitch
549,bigd,big deal
550,bii,bye
551,bilf,brother i'd like to fuck
552,bilu,baby i love you
553,bion,Believe it or not.
554,biotch,bitch
555,bioya,blow it out your ass
556,bish,bitch
557,bisly,but i still love you 
558,bitd,back in the day
559,bitz,neighborhood
560,biw,boss is watching
561,biwm,bisexual white male
562,biz,Business
563,bizatch,bitch
564,bizi,Busy
565,biznatch,bitch
566,biznitch,bitch
567,bizzle,bitch
568,bj,blowjob
569,bk,back
570,bka,better known as
571,bl,bad luck
572,bleme,blog meme
573,bleve,believe
574,blg,blog
575,blh,bored like hell
576,bling-bling,jewelry
577,blj,blowjob
578,bljb,Blowjob
579,blk,black
580,blkm,Black Male
581,blnt,Better Luck Next time
582,blog,web log
583,blogger,web logger
584,blu,blue
585,bm,Bite Me
586,bm&y,between you and me
587,bm4l,best mates for life
588,bma,best mates always
589,bmay,between me and you
590,bmf,be my friend
591,bmfe,best mates forever
592,bmfl,best mates for life
593,bmha,bite my hairy ass
594,bml,bless my life
595,bmoc,Big Man On Campus
596,bmttveot,best mates till the very end of time
597,boxor,box
598,bpot,big pair of tits
599,br,bathroom
600,brah,brother
601,brb,be right back
602,brbbrb,br right back bath room break
603,brbf,Be Right Back fucker
604,brbg2p,be right back  got to pee
605,brbigtp,be right back i got to pee.
606,brbl,be right back later
607,brbmf,be right back mother fucker
608,brbn2gbr,Be right back  I need to go to the bathroom
609,brbs,be right back soon
610,brbts,be right back taking shit
611,brd,bored
612,brfb,be right fucking back
613,brgds,best regards
614,brh,be right here
615,brk,Break
616,bro,brother
617,bros,brothers
618,broseph,brother
619,brover,Brother
620,brt,be right there
621,bruh,brother
622,bruhh,Brother
623,bruv,brother
624,bruva,brother
625,bruz,brothers
626,bs,bullshit
627,bsmfh,bastard System Manager From Hell
628,bsod,blue screen of death
629,bsomn,blowing stuff out my nose
630,bstfu,bitch shut the fuck up
631,bstrd,bastard
632,bsx,bisexual
633,bsxc,be sexy
634,bt,bit torrent
635,btb,by the by
636,btch,bitch
637,btcn,Better than Chuck Norris
638,btd,bored to death
639,btdt,been there done that
640,btdtgtts,Been there done that  got the T-shirt
641,btfl,beautiful
642,btfo,back the fuck off
643,btfw,by the fucking way
644,bth,be totally honest
645,btias,Be there in a second
646,btm,bottom
647,btr,better
648,bts,be there soon
649,btsoom,Beats The shit Out Of Me
650,bttt,been there  tried that
651,bttyl,be talking to you later
652,btw,by the way
653,btwilu,by the way i love you
654,btwitiailwu,by the way i think i am in love with you
655,btwn,between
656,bty,back to you
657,bubar,bushed up beyond all recognition
658,bubi,bye
659,budzecks,butt sex
660,buhbi,Bye Bye
661,bukket,bucket
662,bur,pussy
663,burma,be undressed ready my angel
664,buszay,busy
665,but6,buttsex
666,butsecks,butt sex
667,butterface,every thing is hot but her face
668,buwu,breaking up with you
669,bw3,Buffalo Wild Wings
670,bwim,by which i mean
671,bwoc,Big Woman On Campus
672,bwpwap,back when Pluto was a planet
673,bwt,but when though
674,byak,blowing you a kiss
675,byeas,good-bye
676,byes,bye bye
677,bykt,But you knew that
678,byob,Bring your own Beer
679,byoc,bring our own computer
680,byoh,bring your own high
681,byow,bring your own weed
682,byself,by myself
683,bytabm,beat you to a bloody mess
684,bytch,bitch
685,bz,busy
686,bzns,buisness
687,bzy,busy
688,bzzy,busy
689,c 2 c,cam to cam
690,c&c,Command and Conquer
691,c'mon,Come On
692,c-p,sleepy
693,c.y.a,cover your ass
694,c/b,comment back
695,c/t,can't talk
696,c14n,canonicalization
697,c2,come to
698,c2c,care to chat?
699,c2tc,cut to the chase
700,c4ashg,care for a shag
701,c4y,cool for you
703,cam,camera
704,cancer stick,cigarette
705,catwot,complete and total waste of time
706,cawk,cock
707,cayc,call at your convenience
708,cb,come back
709,cba,can't be arsed
710,cbb,can't be bothered
711,cbf,cant be fucked
712,cbfa,can't be fucking arsed
713,cbfed,can't be fucked
714,cbi,can't believe it
715,ccl,Couldn't Care Less
716,ccna,Cisco Certified Network Associate
717,cd9,9 other people nearby
718,celly,cell phone
719,cex,sex
720,cexy,sexy
721,cfas,care for a secret?
722,cfid,check for identification
723,cfm,come fuck me
724,cg,Congratulations
725,cgad,couldn't give a damn
726,cgaf,couldn't give a fuck
727,cgf,cute guy friend
729,champs,champions
730,char,character
731,cheezburger,cheeseburger
732,chik,chick
733,chilax,chill and relax in one word
734,chillax,chill and relax
735,chillin,relaxing
736,chk,check
737,chohw,Come Hell or high water
738,chr,character
739,chronic,marijuana
740,chswm,come have sex with me
741,chswmrn,come have sex with me right now
742,chu,you
743,chut,pussy
744,cid,consider it done
745,cig,cigarette
746,cigs,cigarettes
747,cihswu,can i have sex with you
748,cihyn,can i have your number
749,cilf,child i'd like to fuck
750,cing,seeing
751,cis,computer information science
752,ciwwaf,cute is what we aim for
753,cless,clanless
754,clm,Cool Like Me
755,clt,Cool Like That
756,cluebie,clueless newbie
757,cm,call me
758,cma,Cover My ass
759,cmao,Crying My ass Off
760,cmar,cry me a river
761,cmb,comment me back
762,cmbo,combo
763,cmcp,call my cell phone
764,cmeo,crying my eyes out
765,cmh,Call My House
766,cmiiw,correct me if I'm wrong
767,cmitm,Call me in the morning
768,cml,call me later
769,cml8r,call me later
770,cmliuw2,call me later if you want to
771,cmn,call me now
772,cmomc,call me on my cell
773,cmon,Come on
774,cmplcdd,complicated
775,cmplte,complete
776,cmptr,computer
777,cms,content management system
778,cmt,comment
779,cmw,cutting my wrists
780,cn,can
781,cnc,Command and Conquer
782,cnt,can't
783,cob,close of business
784,cod,Call of Duty
785,cod4,call of duty 4
786,cod5,call of duty 5
787,codbo2,Call of Duty
788,code 29,moderator is watching
789,code 8,parents are watching
790,code 9,Parents are watching
791,code9,other people near by 
792,cof,Crying on the floor
793,coiwta,come on i wont tell anyone
794,col,crying out loud
795,comin',coming
796,comnt,comment
797,comp,Computer
798,compy,computer
799,congrats,congratulations
800,contrib,contribution
801,contribs,contributions
802,convo,conversation
803,coo,cool
804,cood,could
805,copyvio,copyright violation
806,cos,because
807,cotf,crying on the floor
808,cotm,check out this myspace
809,cowboy choker,cigarette
810,coz,because
811,cp,child porn
812,cpl,Cyber Athlete Professional League
813,cpm,cost per 1000 impressions
814,cptn,captain
815,cpu,computer
816,cpy,copy
817,cr,Can't remember
818,cr8,crate
819,crakalakin,happening
820,crazn,crazy asian
821,cre8or,creator
822,crm,customer relationship management
823,crp,crap
824,crs,can't remember shit
825,crunk,combination of crazy and drunk
826,crzy,crazy
827,cs,Counter-Strike
828,cs,s 
829,csi,Crime Scene Investigation
830,cskr,cock sucker
831,csl,can't stop laughing
832,ct,can't talk
833,ctc,call the cell
834,ctf,capture the flag
835,ctfd,calm the fuck down
836,ctfo,chill the fuck out
837,ctfu,cracking the fuck up
838,ctm,chuckle to myself
839,ctn,can't talk now
840,ctnbos,can't talk now boss over shoulder
841,ctncl,Can't talk now call later
842,ctpc,cant talk parents coming
843,ctpos,Can't Talk Parent Over Sholder
844,ctrl,control
845,ctrn,can't talk right now
846,cts,change the subject
847,ctt,change the topic
848,cu,goodbye
849,cu2,see you too
850,cu2nit,see you tonight
851,cu46,see you for sex
852,cubi,can you believe it
853,cud,could
854,cuic,see you in class
855,cul,see you later
856,cul83r,See you later
857,cul8er,see you later
858,cul8r,See You Later
859,cul8tr,see you later
860,culd,Could
861,cunt,vagina
862,cuom,see you on monday
863,cuple,couple
864,curn,calling you right now
865,cut3,cute
866,cuwul,catch up with you later
867,cuz,because
868,cuzz,Because
869,cvq,chucking very quietly
870,cw2cu,can`t wait to see you
871,cwd,comment when done
872,cwm,come with me
873,cwmaos,coffee with milk and one sugar
874,cwot,complete waste of time
875,cwtgypo,can't wait to get your panties off
876,cwyl,chat with ya later
877,cy2,see you too
878,cya,goodbye
879,cyal,see you later
880,cyal8r,see you later
881,cyas,see you soon
882,cyb,cyber
883,cybl,call you back later
884,cybr,cyber
885,cybseckz,cyber sex
886,cye,Close Your Eyes
887,cyff,change your font fucker
888,cyl,see you later
890,cyl8,see you later
891,cyl8er,see you later
892,cylbd,catch ya later baby doll
893,cylor,check your local orhtodox rabbi
894,cym,check your mail
895,cyntott,see you next time on Tech Today
896,cyt,see you tomorrow
897,cyu,see you
898,c|n>k,coffee through nose into keyboard
900,d&df,drug & disease free
901,d.t.f,down to fuck
902,d.w,don't worry
903,d/c,disconnected
904,d/l,download
905,d/m,Doesn't Matter
906,d/w,don't worry
907,d00d,dude
908,d1ck,dick
909,d2,Diablo 2
910,d2m,dead to me
911,d2t,drink to that
912,d8,date
913,da,the
914,da2,Dragon Age 2
915,dadt,Don't ask. Don't tell.
916,dafs,do a fucking search
917,dafuq,What the fuck
918,dah,dumb as hell
919,daii,day
920,damhik,don't ask me how I know
921,damhikijk,Don't Ask Me How I Know - I Just Know
922,damhikt,don't ask me how I know this
923,dass,dumb ass
924,dat,that
925,dats,that's
926,dawg,Friend
927,dayum,damn
928,dayumm,damn
929,db,database
930,db4l,drinking buddy for life
931,dbab,don't be a bitch
932,dbafwtt,Don't Be A Fool Wrap The Tool
933,dbag,douchebag
934,dbeyr,don't believe everything you read
935,dbg,don't be gay
936,dbh,don't be hating
937,dbi,Don't Beg It
938,dbm,don't bother me
939,dbz,DragonBall Z
940,dc,don't care
941,dc'd,disconnected
942,dctnry,dictionary
943,dcw,Doing Class Work
944,dd,don't die
945,ddf,Drug and Disease Free
946,ddg,Drop Dead Gorgeous
947,ddl,direct download
948,ddos,Distributed Denial of Service
949,ddr,dance dance revolution
950,ded,Dead
951,deets,details
952,deez,these
953,def,definitely
954,defs,definetly
955,degmt,Don't Even Give Me That
956,dem,them
957,der,there
958,dernoe,I don't know
959,detai,don't even think about it
960,dewd,Dude
961,dey,they
962,df,Dumb fuck
963,dfc,DON'T fuckING CARE
964,dfo,dumb fucking operator
965,dftba,don't forget to be awesome
966,dftc,down for the count
967,dfu,don't fuck up
968,dfw,down for whatever
969,dfw/m,Don't fuck with Me
970,dfwm,Don't fuck with Me
971,dfwmt,Don't fucking waste my time
972,dg,don't go
973,dga,don't go anywhere
974,dgac,don't give a crap
975,dgaf,don't give a fuck
976,dgara,don't give a rats ass
977,dgas,Don't give a shit
978,dgms,Don't get me started
979,dgoai,don't go on about it
980,dgt,don't go there
981,dgu,don't give up
982,dgypiab,don't get your panties in a bunch
983,dh,dickhead
984,dhac,Don't have a clue
985,dhcp,Dynamic Host Configuration Protocol
986,dhly,does he like you
987,dhv,Demonstration of Higher Value
988,diacf,die in a car fire
989,diaf,die in a fire
990,diah,die in a hole
991,dic,do i care
992,dick,penis
993,diez,dies
994,diff,difference
995,dih,dick in hand
996,dikhed,dickhead
997,diku,do i know you
998,diky,Do I know you
999,dil,Daughter in law
1000,dilf,dad i'd like to fuck
1001,dillic,Do I look like I care
1002,dillifc,do I look like I fucking care
1003,dilligad,do I look like I give a damn
1004,dilligaf,do I look like I give a fuck
1005,dilligas,do i look like i give a shit
1006,din,didn't
1007,din't,didn't
1008,dirl,Die in real life
1009,dis,this
1010,dit,Details in Thread
1011,diy,do it yourself
1012,dju,did you
1013,dk,don't know
1014,dkdc,don't know don't care
1015,dl,download
1016,dlf,dropping like flies
1017,dlibu,Dont let it bother you
1018,dln,don't look now
1019,dm,deathmatch
1020,dmaf,do me a favor
1021,dmba*,dumbass
1022,dmi,don't mention it
1023,dmn,damn
1024,dmu,don't mess up
1025,dmwm,don't mess with me
1026,dmy,don't mess yourself
1027,dn,don't know
1028,dnd,Do Not Disturb
1029,dndp,Do not double post
1030,dnimb,dancing naked in my bra
1031,dno,don't know
1032,dnrta,did not read the article
1033,dnrtfa,did not read the fucking article
1034,dns,Domain Name System
1035,dnt,don't
1036,dnw,Do not want
1037,doa,dead on arrival
1038,dob,date of birth
1039,dod,Day of Defeat
1040,dogg,friend
1041,doin,doing
1042,doin',doing
1043,don,denial of normal
1044,doncha,Don't you
1045,donno,don't know
1046,dont,don't
1047,dontcha,don't you
1048,dood,dude
1049,doodz,dudes
1050,dos,denial of service
1051,dotc,dancing on the ceiling
1052,doypov,depends on your point of view
1053,dp,display picture
1054,dpmo,don't piss me off
1055,dprsd,depressed
1056,dqmot,don't quote me on this
1057,dqydj,don't quit your day job
1058,dr00d,druid
1059,drc,don't really care
1060,drm,dream
1061,drood,druid
1062,dsided,decided
1063,dsu,don't screw up
1064,dt,double team
1065,dta,Don't Trust Anyone
1066,dtb,don't text back
1067,dth,down to hang
1068,dtl,damn the luck
1069,dtp,Don't Type Please
1070,dtrt,do the right thing
1071,dts,Don't think so
1072,dttm,don't talk to me
1073,dttml,don't talk to me loser
1074,dttpou,Don't tell the police on us
1075,dttriaa,don't tell the RIAA
1076,du2h,damn you to hell
1077,ducy,do you see why
1078,dugi,do you get it?
1079,dugt,did you get that?
1080,dui,driving under the influence
1081,duk,did you know
1082,dulm,do you like me
1083,dum,dumb
1084,dun,don't
1085,dunna,i don't know
1086,dunno,I don't know
1087,duno,don't know
1088,dupe,duplicate
1089,dutma,don't you text me again
1090,dvda,double vaginal double anal
1091,dw,don't worry
1092,dwai,don't worry about it
1093,dwb,Driving while black
1094,dwbh,don't worry be happy
1095,dwbi,Don't worry about it.
1096,dwi,deal with it
1097,dwioyot,Deal With It On Your Own Time
1098,dwmt,don't waste my time
1099,dwn,down
1100,dwt,don't wanna talk
1101,dwud,do what you do
1102,dwy,don't wet yourself
1103,dy2h,damn you to hell
1104,dya,Do you
1105,dyac,damn you auto correct
1106,dycotfc,do you cyber on the first chat
1107,dyec,Don't You Ever Care
1108,dygtp,did you get the picture
1109,dyk,did you know
1110,dylh,do you like him
1111,dylm,do you love me
1112,dylos,do you like oral sex
1113,dym,Do you mind
1114,dymm,do you miss me
1115,dynk,do you not know
1116,dynm,do you know me
1117,dyt,Don't you think
1118,dyth,damn You To Hell
1119,dyw,don't you worry
1120,dyw2gwm,do you want to go with me
1121,dywtmusw,do you want to meet up some where
1123,e.g.,example
1124,e4u2s,easy for you to say
1125,eabod,eat a bag of dicks
1126,ead,eat a dick
1127,ebitda,earnings before interest taxes depreciation and amortization
1128,ecf,error carried forward
1129,edumacation,education
1130,eedyat,idiot
1131,eejit,idiot
1133,ef-ing,fucking
1134,efct,effect
1135,effed,fucked
1136,efffl,extra friendly friends for life
1137,effin,fucking
1138,effing,fucking
1139,eg,evil grin
1140,ehlp,help
1141,eil,explode into laughter
1142,el!t,elite
1143,eleo,Extremely Low Earth Orbit
1144,ello,hello
1145,elo,hello
1146,em,them
1147,emm,email me
1148,emo,emotional
1149,emp,eat my pussy
1150,enat,every now and then
1151,enit,isn't it
1152,enof,enough
1153,enuf,enough
1154,enuff,enough
1155,eob,End of Business
1156,eoc,end of conversation
1157,eod,End of day
1158,eof,end of file
1159,eom,end of message
1160,eos,end of story
1161,eot,end of transmission
1162,eotw,end of the world
1163,epa,Emergency Parent Alert
1164,eq,Everquest
1165,eq2,Everquest2
1166,ere,here
1167,errythang,Everything
1168,errythin,everything
1169,esad,eat shit and die
1170,esadyffb,eat shit and die you fat fucking bastard
1171,esbm,Everyone sucks but me
1172,esc,escape
1173,esl,eat shit loser
1174,eta,Estimated Time of Arrival
1175,etla,extended three letter acronym
1176,etmda,Explain it to my dumb ass
1177,etp,eager to please
1178,eula,end user license agreement
1179,ev1,everyone
1180,eva,ever
1181,evaa,ever
1182,evar,ever
1183,evercrack,Everquest
1184,every1,everyone
